customer_id,age,salary,account_balance,avg_card_spend,tenure_months,digital_engagement_score,missed_payments,is_sme_owner,international_spend_ratio,personal_loan_conversion,fx_card_conversion,churn_risk
1,42,9858.06,18354.05,2054.72,76,94.05,0,0,0.3,0,0,0
2,36,14334.01,113346.0,8067.28,49,84.43,0,0,0.52,1,0,1
3,44,10831.43,72571.86,3871.31,164,42.27,0,0,0.11,1,1,1
4,53,19325.02,138120.9,6581.13,7,16.11,2,1,0.6,0,1,1
5,35,32366.14,194614.79,19356.64,15,15.72,0,0,0.69,1,0,1
6,35,8747.49,23699.81,2553.96,85,90.49,0,0,0.74,1,0,0
7,53,30009.85,51067.3,15817.07,153,16.62,1,1,0.96,0,1,1
8,45,8619.94,61376.25,4578.67,38,38.63,0,0,0.17,1,0,1
9,33,7828.47,31910.03,1693.57,37,90.08,0,0,0.07,1,0,0
10,43,27823.14,89454.77,4101.68,122,3.34,0,0,0.94,0,0,0
11,33,29063.24,149701.08,17083.66,16,63.07,0,0,0.65,1,0,0
12,33,28216.92,119522.37,8830.44,1,35.06,0,0,0.56,1,1,1
13,40,3000.0,17207.49,303.33,175,10.78,1,0,0.42,1,1,1
14,18,12408.59,57633.62,4336.91,37,56.75,0,0,0.44,1,0,0
15,20,27875.86,168147.64,11419.35,45,48.49,1,0,0.3,0,0,0
16,32,18498.5,130363.59,9028.09,142,9.92,1,0,0.62,0,1,1
17,27,5115.69,14176.18,2923.47,162,26.72,1,0,0.02,0,0,0
18,41,23499.82,85570.2,13103.15,159,74.04,0,1,0.54,0,0,1
19,28,9422.31,40886.25,5371.36,83,75.59,0,1,0.06,1,0,0
20,23,39534.3,306524.43,4588.45,172,59.87,0,0,0.72,1,1,0
21,52,36538.1,141573.02,16657.25,23,11.05,0,0,0.96,0,1,1
22,35,25249.17,100419.71,5376.28,94,85.31,0,0,0.19,0,0,0
23,38,34332.08,197326.08,6652.75,81,17.27,0,0,0.27,1,0,1
24,23,18777.5,79331.13,9391.74,66,72.09,0,0,0.54,1,0,0
25,32,27185.25,208863.03,8388.41,139,4.26,0,1,0.49,1,1,0
26,39,35732.64,261350.23,19949.54,177,33.18,0,0,0.82,1,1,0
27,26,20945.98,101319.02,2539.02,58,47.84,0,0,0.13,0,0,0
28,41,14937.75,85011.34,7485.17,29,2.8,0,0,0.55,0,0,1
29,31,3000.0,5631.6,505.25,83,17.16,0,0,0.92,0,1,0
30,35,17002.4,102392.66,3201.36,179,31.89,0,0,0.67,0,1,0
31,31,27881.08,169985.52,9442.65,129,98.25,1,0,0.27,0,1,0
32,56,29347.6,112542.05,8739.57,133,77.95,0,0,0.06,1,0,0
33,37,24052.38,70423.9,8252.04,115,84.07,0,0,0.42,1,0,1
34,27,11504.41,85684.96,6557.67,34,66.75,3,0,0.47,1,1,1
35,46,3000.0,12820.75,1286.08,125,29.24,0,0,0.13,0,0,0
36,25,12057.42,69319.18,2955.93,78,70.94,0,0,0.48,1,0,1
37,40,14347.86,24630.07,2675.22,19,67.37,0,0,0.68,1,0,0
38,18,14244.85,59706.4,4416.23,88,61.0,1,1,0.48,0,0,0
39,24,25422.68,173183.9,8283.23,168,29.83,1,0,0.23,1,0,0
40,39,41828.12,168117.41,16758.32,81,26.32,0,1,0.96,0,0,1
41,45,19482.35,105605.01,4539.41,95,33.63,1,0,0.11,1,0,0
42,39,15399.22,44104.33,7449.44,72,31.24,0,0,0.61,0,0,1
43,36,14889.34,62645.65,2221.94,145,7.78,1,0,0.73,0,0,1
44,34,19492.62,146772.49,7411.61,38,80.23,2,1,0.27,0,0,0
45,23,8060.47,41768.87,3319.03,171,36.93,0,0,0.38,1,0,0
46,30,19442.38,143145.6,3954.89,40,70.66,1,0,0.44,0,0,1
47,33,23409.75,172368.91,12009.33,173,27.99,1,0,0.65,0,0,1
48,48,20516.23,156681.66,8364.8,168,60.2,0,0,0.51,1,0,0
49,41,23490.5,171951.56,9933.22,120,3.47,1,0,0.19,1,0,1
50,20,23204.97,35302.36,8095.56,88,10.6,0,0,0.89,0,1,1
51,41,3000.0,22713.29,1664.39,90,36.45,0,0,0.36,0,0,0
52,34,25642.44,61374.83,11461.24,30,26.87,0,0,0.38,1,0,0
53,31,9947.82,17503.4,2894.0,163,35.34,0,0,0.8,0,0,0
54,44,4849.93,9020.99,1063.6,172,93.07,0,0,0.54,0,0,0
55,48,4746.58,17884.89,643.31,132,7.39,0,0,0.23,0,0,1
56,47,23202.5,128431.09,4238.64,133,46.27,0,0,0.91,0,1,0
57,29,15329.1,63079.6,9141.38,176,19.83,1,1,0.81,0,0,0
58,34,3000.0,4998.31,910.15,66,35.58,0,0,0.6,1,0,1
59,41,23736.45,109119.73,13039.47,95,67.7,0,0,0.51,1,1,0
60,47,3000.0,13121.55,555.85,27,97.29,0,0,0.68,0,0,0
61,33,19677.86,126322.4,6152.88,152,69.47,1,0,0.36,1,1,1
62,36,20861.99,69209.31,12105.36,56,88.48,0,0,0.69,1,1,0
63,26,28626.92,83417.5,4167.11,45,14.73,0,0,0.04,1,0,1
64,26,39380.22,124583.38,15633.64,68,18.14,0,1,0.4,1,1,0
65,46,3000.0,10422.93,1678.76,156,87.68,1,0,0.62,1,1,0
66,51,17370.31,93705.4,9985.18,5,60.75,0,0,0.62,1,0,1
67,37,14683.98,67031.11,7679.77,108,79.21,1,0,0.07,0,0,0
68,48,23205.0,85622.14,12251.48,47,22.29,0,0,0.72,0,1,1
69,41,20588.03,80973.57,8772.38,133,34.86,2,0,0.08,0,0,0
70,31,13769.45,53852.35,2894.5,5,8.1,0,0,0.74,1,1,0
71,41,12709.17,99393.92,5914.08,176,89.56,0,0,0.91,0,0,0
72,53,4602.59,13874.42,2711.81,121,95.64,0,0,0.98,1,1,0
73,37,29854.34,203528.97,10836.13,73,85.75,0,0,0.6,0,1,0
74,53,23510.45,143492.99,5415.6,47,43.72,0,0,0.71,1,0,0
75,18,29013.22,44570.25,11220.44,155,34.11,0,0,0.23,1,1,0
76,46,14275.25,113568.8,6356.84,4,46.26,0,0,0.37,1,1,0
77,38,10117.97,64925.58,2065.48,177,63.76,0,1,0.01,0,0,0
78,35,5060.22,30037.07,2325.65,91,43.15,0,1,0.8,0,0,0
79,38,22307.01,92230.8,8782.64,65,42.16,0,0,0.69,1,0,1
80,18,5522.48,28213.36,2243.09,96,43.1,2,0,0.26,1,1,1
81,35,40183.96,126429.21,10166.3,80,74.46,0,0,0.49,1,1,0
82,41,3000.0,5191.93,532.9,87,78.68,0,0,0.73,1,0,0
83,52,21283.92,147585.71,8763.12,61,87.05,1,0,0.67,1,1,0
84,32,36802.26,269655.62,14467.57,148,24.3,0,0,0.32,1,1,0
85,29,25189.08,64384.77,6776.02,100,15.75,0,0,0.37,1,0,0
86,32,20108.08,133032.37,4985.74,119,34.51,0,0,0.15,1,0,1
87,47,6378.2,40294.21,1745.22,109,42.04,1,0,0.14,0,0,1
88,41,3000.0,7978.31,1034.83,136,70.19,0,0,0.4,1,0,0
89,32,27240.6,115551.56,16001.4,82,75.79,0,0,0.48,1,1,1
90,43,36073.77,153238.71,17379.7,13,98.42,0,0,0.95,1,1,0
91,38,12733.8,82002.71,6696.32,165,37.82,2,0,0.51,0,0,1
92,47,4331.26,30079.73,1528.18,43,40.25,1,0,0.19,1,0,0
93,30,3000.0,6348.11,1089.19,92,54.21,0,0,0.17,1,0,0
94,34,6230.82,32146.68,1259.64,178,82.03,0,0,0.35,1,1,0
95,34,16636.12,107325.67,7661.31,20,66.09,1,1,0.92,1,1,0
96,23,37189.48,245831.34,11558.19,48,57.27,0,0,0.79,0,1,0
97,40,26077.6,64201.96,12288.38,100,64.81,0,0,0.49,0,0,0
98,40,21661.02,106480.91,6596.38,19,46.45,0,0,0.96,0,1,0
99,38,13198.56,93368.38,2035.99,69,75.91,0,0,0.22,1,0,0
